level,model,model_label,daily_MAE,daily_RMSE,daily_WAPE,daily_actual_sum,daily_prediction_sum,daily_n,daily_WAPE_pct,recursive_MAE,recursive_RMSE,recursive_WAPE,recursive_actual_sum,recursive_prediction_sum,recursive_n,recursive_WAPE_pct,WAPE_change_pct_points,WAPE_relative_change_pct,recursive_result
category,ridge,综合Ridge回归,7.436193955619066,13.450354151176622,0.3291261501795437,5061.0,4641.865608476489,224,32.91261501795437,7.7887590079020645,13.858142604446213,0.3447306891464261,5061.0,5018.373403211319,224,34.47306891464261,1.5604538966882373,4.7412030184687,严格递推误差更高
category,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,8.301295792057356,14.644155959877327,0.36741558139119695,5061.0,4917.650592000413,224,36.7415581391197,8.126639157522604,14.552257272596073,0.35968527391524663,5061.0,4732.861663534109,224,35.96852739152466,-0.7730307475950369,-2.1039683310870987,严格递推误差未升高
category,baseline_moving_average_7,Baseline移动平均(7日),8.387117346938776,14.527573185259167,0.37121404578428885,5061.0,4953.428571428572,224,37.12140457842889,8.245495139381221,14.547199379476858,0.3649458429601647,5061.0,4900.266964809366,224,36.49458429601647,-0.6268202824124174,-1.6885683328282757,严格递推误差未升高
category,baseline_rolling_mean_14,Baseline滚动均值(14日),8.239795918367347,14.726701221352112,0.3646935952804358,5061.0,4845.571428571428,224,36.46935952804358,8.55089867866421,15.17550411665241,0.37846301205706046,5061.0,4788.147203047154,224,37.84630120570605,1.3769416776624652,3.7756124469464463,严格递推误差更高
category,random_forest,综合随机森林,6.933190552191767,11.07173112000515,0.3068632056295111,5061.0,5085.573484582219,224,30.68632056295111,8.7977787584894,16.757342906424935,0.38938993121944787,5061.0,5704.650371416025,224,38.93899312194479,8.25267255899368,26.893652961956864,严格递推误差更高
product,ridge,综合Ridge回归,5.514902351342168,10.648541406760833,0.366134595939729,5061.0,4641.865608476488,336,36.613459593972905,5.8232614177609845,10.905221441722288,0.38660656715425623,5061.0,5018.373403211319,336,38.660656715425624,2.0471971214527187,5.591378537169754,严格递推误差更高
product,q1_store_product_exp_smoothing,问题一门店-商品简单指数平滑,6.036405799013767,11.60524469865301,0.4007572314697937,5061.0,4917.650592000413,336,40.07572314697937,5.883369771367516,11.257313988452804,0.39059716324431637,5061.0,4732.861663534108,336,39.05971632443163,-1.0160068225477374,-2.535217689825547,严格递推误差未升高
product,baseline_moving_average_7,Baseline移动平均(7日),6.131377551020408,11.553886194704981,0.4070624100262511,5061.0,4953.428571428572,336,40.70624100262511,6.082134318253137,11.354085545535156,0.40379314975954433,5061.0,4900.266964809366,336,40.379314975954436,-0.3269260266706766,-0.8031348968075761,严格递推误差未升高
product,baseline_rolling_mean_14,Baseline滚动均值(14日),5.971938775510203,11.570222547800736,0.39647726310441184,5061.0,4845.571428571429,336,39.647726310441186,6.15741157016797,11.820357649850862,0.40879080963770753,5061.0,4788.147203047154,336,40.879080963770754,1.2313546533295678,3.105738381283402,严格递推误差更高
product,random_forest,综合随机森林,5.187604730398895,8.803784069940289,0.34440529330449093,5061.0,5085.573484582219,336,34.440529330449095,6.4205105463445005,12.85141125710127,0.4262579615830374,5061.0,5704.650371416024,336,42.62579615830374,8.185266827854647,23.766379283311423,严格递推误差更高
